#,Name,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Type 1,Type 2,Img Link,Descrição,Descrição Pt-Br
1,Bulbasaur,318,45,49,49,65,65,45,Grass,Poison,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/cf47f9fac4ed3037ff2a8ea83204e32aff8fb5f3.png,"For some time after its birth, it uses the nutrients that are packed into the seed on its back in order to grow.","Por algum tempo após seu nascimento, ele utiliza os nutrientes que estão contidos na semente em seu dorso para crescer."
2,Ivysaur,405,60,62,63,80,80,60,Grass,Poison,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/3245e4f8c04aa0619cb31884dbf123c6918b3700.png,"The more sunlight Ivysaur bathes in, the more strength wells up within it, allowing the bud on its back to grow larger.","Quanto mais luz solar Ivysaur toma banho, mais força surge dentro dele, permitindo que o botão em suas costas cresça."
3,Venusaur,525,80,82,83,100,100,80,Grass,Poison,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/0186d64c5773c8d3d03cd05dc79574b2d2798d4f.png,"While it basks in the sun, it can convert the light into energy. As a result, it is more powerful in the summertime.","Enquanto se aquece ao sol, pode converter a luz em energia. Como resultado, é mais potente no verão."
3,Venusaur Gigantamax,525,80,82,83,100,100,80,Grass,Poison,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/6b55babb3825ef9fa9e5d9ff44a14bdb8406ce97.png,"In battle, this Pokémon swings around two thick vines. If these vines slammed into a 10-story building, they could easily topple it.","Na batalha, este Pokémon gira em torno de duas vinhas grossas. Se essas vinhas colidissem com um prédio de 10 andares, poderiam facilmente derrubá-lo."
3,Mega Venusaur,625,80,100,123,122,120,80,Grass,Poison,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/3bfcc4360c44f37815dc1e59f75818935cbfc41b.png,There is a large flower on Venusaur's back. The flower is saidto take on vivid colors if it gets plenty of nutrition and sunlight. The flower's aroma soothes the emotions of people.,Há uma grande flor nas costas de Venusaur. Diz-se que a flor adquire cores vivas se receber bastante nutrição e luz solar. O aroma da flor acalma as emoções das pessoas.
4,Charmander,309,39,52,43,60,50,65,Fire,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/d0ee81f16175c97770192fb691fdda8da1f4f349.png,"The flame on its tail shows the strength of its life-force. If Charmander is weak, the flame also burns weakly.","A chama em sua cauda mostra a força de sua força vital. Se Charmander estiver fraco, a chama também queimará fracamente."
5,Charmeleon,405,58,64,58,80,65,80,Fire,,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/285395ca77d82861fd30cea64567021a50c1169c.png,"When it swings its burning tail, the temperature around it rises higher and higher, tormenting its opponents.","Quando ele balança sua cauda em chamas, a temperatura ao seu redor aumenta cada vez mais, atormentando seus oponentes."
6,Charizard,534,78,84,78,109,85,100,Fire,Flying,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/2050f1fd1283f473d7d048f8631712e7e003f802.png,"If Charizard becomes truly angered, the flame at the tip of its tail burns in a light blue shade.","Se Charizard ficar realmente irritado, a chama na ponta de sua cauda queima em um tom azul claro."
6,Charizard Gigantamax,534,78,84,78,109,85,100,Fire,Flying,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/2fd12098f15628cce80d411e090189aeb7d758ff.png,"This colossal, flame-winged figure of a Charizard was brought about by Gigantamax energy.",Esta figura colossal de um Charizard com asas flamejantes foi provocada pela energia Gigantamax.
6,Mega Charizard X,634,78,130,111,130,85,100,Fire,Dragon,https://sg.portal-pokemon.com/play/resources/pokedex/img/pm/ca3db4aad5c85a525d9be86852b26db1db7a22c0.png,"Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponentweaker than itself.","Charizard voa pelo céu em busca de oponentes poderosos. Ele cospe fogo com um calor tão grande que derrete qualquer coisa. Entretanto, ele nunca direciona seu sopro de fogo contra qualquer oponente mais fraco que ele."
